Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
360,2/9/2020 2:50,634488679.2,6144.481,25.75,186.77,809684,91.283,12.96,-99.99,14.41,-99.99,15.86,-99.99,145.74,-9.99,162.05,-9.99,178.36,-9.99,6.44081E+21,9.9,35.076,10.387
361,2/9/2020 2:50,634488679.2,6144.893,25.75,186.77,813228,91.683,11.4,-99.99,12.85,-99.99,14.3,-99.99,142.46,-9.99,160.59,-9.99,178.72,-9.99,5.79408E+21,9.9,35.075,10.387
362,2/9/2020 2:50,634488679.3,6145.297,25.75,186.77,816704,92.075,10.03,-99.99,11.48,-99.99,12.93,-99.99,141.76,-9.99,162.27,-9.99,182.77,-9.99,5.1233E+21,9.9,35.075,10.387
363,2/9/2020 2:50,634488679.4,6145.699,25.75,186.77,820162,92.464,8.82,-99.99,10.27,-99.99,11.72,-99.99,141,-9.99,164.17,-9.99,187.35,-9.99,4.53256E+21,9.9,35.074,10.387
364,2/9/2020 2:50,634488679.4,6146.112,25.75,186.77,823714,92.865,7.73,-99.99,9.18,-99.99,10.63,-99.99,139.08,-9.99,165.18,-9.99,191.29,-9.99,4.02413E+21,9.9,35.074,10.387
365,2/9/2020 2:50,634488679.5,6146.523,25.75,186.77,827248,93.263,6.77,-99.99,8.22,-99.99,9.67,-99.99,140,-9.99,170,-9.99,200,-9.99,3.50142E+21,9.9,35.073,10.387
345,2/9/2020 2:50,634488678.2,6138.667,25.76,186.77,759610,85.638,66.69,-99.99,68.14,-99.99,69.59,-99.99,173.85,-9.99,177.63,-9.99,181.42,-9.99,2.77822E+22,9.9,35.082,10.387
346,2/9/2020 2:50,634488678.2,6139.046,25.76,186.77,762877,86.006,60.4,-99.99,61.85,-99.99,63.3,-99.99,171.3,-9.99,175.41,-9.99,179.52,-9.99,2.55404E+22,9.9,35.082,10.387
347,2/9/2020 2:50,634488678.3,6139.42,25.76,186.77,766100,86.37,54.72,-99.99,56.17,-99.99,57.62,-99.99,169.42,-9.99,173.91,-9.99,178.4,-9.99,2.33917E+22,9.9,35.081,10.387
348,2/9/2020 2:50,634488678.4,6139.795,25.76,186.77,769332,86.734,49.5,-99.99,50.95,-99.99,52.4,-99.99,167.67,-9.99,172.58,-9.99,177.5,-9.99,2.13813E+22,9.9,35.081,10.387
349,2/9/2020 2:50,634488678.4,6140.176,25.76,186.77,772615,87.104,44.66,-99.99,46.11,-99.99,47.56,-99.99,165.96,-9.99,171.35,-9.99,176.74,-9.99,1.94891E+22,9.9,35.08,10.387
350,2/9/2020 2:50,634488678.5,6140.551,25.76,186.77,775846,87.468,40.32,-99.99,41.77,-99.99,43.22,-99.99,164.72,-9.99,170.65,-9.99,176.57,-9.99,1.77284E+22,9.9,35.08,10.387
351,2/9/2020 2:50,634488678.6,6140.936,25.76,186.77,779163,87.842,36.27,-99.99,37.72,-99.99,39.17,-99.99,163.09,-9.99,169.61,-9.99,176.13,-9.99,1.61087E+22,9.9,35.08,10.387
352,2/9/2020 2:50,634488678.6,6141.321,25.76,186.77,782479,88.216,32.6,-99.99,34.05,-99.99,35.5,-99.99,162.02,-9.99,169.23,-9.99,176.44,-9.99,1.4574E+22,9.9,35.079,10.387
353,2/9/2020 2:50,634488678.7,6141.703,25.76,186.77,785770,88.587,29.31,-99.99,30.76,-99.99,32.21,-99.99,161.36,-9.99,169.35,-9.99,177.33,-9.99,1.31564E+22,9.9,35.079,10.387
354,2/9/2020 2:50,634488678.8,6142.087,25.76,186.77,789076,88.96,26.32,-99.99,27.77,-99.99,29.22,-99.99,159.76,-9.99,168.56,-9.99,177.36,-9.99,1.19319E+22,9.9,35.078,10.387
355,2/9/2020 2:50,634488678.8,6142.49,25.76,186.77,792546,89.351,23.47,-99.99,24.92,-99.99,26.37,-99.99,156.76,-9.99,166.45,-9.99,176.13,-9.99,1.08436E+22,9.9,35.078,10.387
356,2/9/2020 2:50,634488678.9,6142.879,25.76,186.77,795896,89.729,20.98,-99.99,22.43,-99.99,23.88,-99.99,155.28,-9.99,166.01,-9.99,176.75,-9.99,9.7848E+21,9.9,35.077,10.387
357,2/9/2020 2:50,634488679,6143.277,25.76,186.77,799322,90.115,18.67,-99.99,20.12,-99.99,21.57,-99.99,152.34,-9.99,164.17,-9.99,176.01,-9.99,8.87702E+21,9.9,35.077,10.387
358,2/9/2020 2:50,634488679,6143.685,25.76,186.77,802834,90.511,16.53,-99.99,17.98,-99.99,19.43,-99.99,148.9,-9.99,161.96,-9.99,175.03,-9.99,8.03957E+21,9.9,35.076,10.387
359,2/9/2020 2:50,634488679.1,6144.085,25.76,186.77,806276,90.899,14.64,-99.99,16.09,-99.99,17.54,-99.99,147.3,-9.99,161.89,-9.99,176.49,-9.99,7.19717E+21,9.9,35.076,10.387
330,2/9/2020 2:50,634488677.2,6133.752,25.77,186.77,717205,80.857,228.61,-99.99,230.06,-99.99,231.51,-99.99,187.8,-9.99,188.99,-9.99,190.19,-9.99,8.81686E+22,9.9,35.089,10.387
331,2/9/2020 2:50,634488677.3,6134.011,25.77,186.77,719441,81.109,214.8,-99.99,216.25,-99.99,217.7,-99.99,187.31,-9.99,188.57,-9.99,189.84,-9.99,8.30606E+22,9.9,35.089,10.387
332,2/9/2020 2:50,634488677.3,6134.319,25.77,186.77,722100,81.409,199.36,-99.99,200.81,-99.99,202.26,-99.99,185.31,-9.99,186.66,-9.99,188.01,-9.99,7.79209E+22,9.9,35.088,10.387
333,2/9/2020 2:50,634488677.4,6134.654,25.77,186.77,724992,81.735,183.65,-99.99,185.1,-99.99,186.55,-99.99,182.77,-9.99,184.21,-9.99,185.66,-9.99,7.27766E+22,9.9,35.088,10.387
334,2/9/2020 2:50,634488677.5,6134.989,25.77,186.77,727884,82.061,168.99,-99.99,170.44,-99.99,171.89,-99.99,180.72,-9.99,182.27,-9.99,183.82,-9.99,6.77307E+22,9.9,35.087,10.387
335,2/9/2020 2:50,634488677.5,6135.33,25.77,186.77,730827,82.393,155.15,-99.99,156.61,-99.99,158.06,-99.99,179.41,-9.99,181.08,-9.99,182.76,-9.99,6.26384E+22,9.9,35.087,10.387
336,2/9/2020 2:50,634488677.6,6135.648,25.77,186.77,733571,82.702,143.24,-99.99,144.69,-99.99,146.14,-99.99,179.59,-9.99,181.4,-9.99,183.22,-9.99,5.77691E+22,9.9,35.086,10.387
337,2/9/2020 2:50,634488677.7,6135.94,25.77,186.77,736090,82.986,133.13,-99.99,134.58,-99.99,136.03,-99.99,180.5,-9.99,182.47,-9.99,184.44,-9.99,5.34215E+22,9.9,35.086,10.387
338,2/9/2020 2:50,634488677.7,6136.237,25.77,186.77,738653,83.275,123.61,-99.99,125.06,-99.99,126.51,-99.99,180.62,-9.99,182.73,-9.99,184.85,-9.99,4.9571E+22,9.9,35.085,10.387
339,2/9/2020 2:50,634488677.8,6136.58,25.77,186.77,741612,83.609,113.43,-99.99,114.88,-99.99,116.33,-99.99,179.12,-9.99,181.41,-9.99,183.7,-9.99,4.58667E+22,9.9,35.085,10.387
340,2/9/2020 2:50,634488677.9,6136.937,25.77,186.77,744692,83.956,103.65,-99.99,105.1,-99.99,106.55,-99.99,178.04,-9.99,180.53,-9.99,183.02,-9.99,4.21674E+22,9.9,35.085,10.387
341,2/9/2020 2:50,634488677.9,6137.267,25.77,186.77,747538,84.277,95.34,-99.99,96.8,-99.99,98.25,-99.99,178.26,-9.99,180.97,-9.99,183.68,-9.99,3.87402E+22,9.9,35.084,10.387
342,2/9/2020 2:50,634488678,6137.596,25.77,186.77,750375,84.597,87.73,-99.99,89.18,-99.99,90.63,-99.99,178.09,-9.99,181.04,-9.99,183.98,-9.99,3.56792E+22,9.9,35.084,10.387
343,2/9/2020 2:50,634488678.1,6137.952,25.77,186.77,753445,84.943,80.14,-99.99,81.59,-99.99,83.04,-99.99,176.72,-9.99,179.92,-9.99,183.12,-9.99,3.2846E+22,9.9,35.083,10.387
344,2/9/2020 2:50,634488678.1,6138.312,25.77,186.77,756549,85.293,73.09,-99.99,74.54,-99.99,75.99,-99.99,175.39,-9.99,178.87,-9.99,182.35,-9.99,3.01819E+22,9.9,35.083,10.387
314,2/9/2020 2:50,634488676.2,6129.879,25.78,186.78,683742,77.084,580.6,-99.99,582.05,-99.99,583.5,-99.99,194.67,-9.99,195.16,-9.99,195.64,-9.99,2.16017E+23,9.9,35.096,10.386
315,2/9/2020 2:50,634488676.2,6130.066,25.78,186.78,685358,77.267,555.92,-99.99,557.37,-99.99,558.82,-99.99,194.3,-9.99,194.81,-9.99,195.32,-9.99,2.07224E+23,9.9,35.096,10.386
316,2/9/2020 2:50,634488676.3,6130.268,25.78,186.78,687105,77.464,530.37,-99.99,531.82,-99.99,533.27,-99.99,193.58,-9.99,194.11,-9.99,194.64,-9.99,1.98443E+23,9.9,35.095,10.386
317,2/9/2020 2:50,634488676.3,6130.489,25.78,186.77,689015,77.679,503.64,-99.99,505.09,-99.99,506.54,-99.99,192.5,-9.99,193.05,-9.99,193.6,-9.99,1.89501E+23,9.9,35.095,10.386
318,2/9/2020 2:50,634488676.4,6130.713,25.78,186.77,690951,77.897,477.77,-99.99,479.22,-99.99,480.67,-99.99,191.19,-9.99,191.77,-9.99,192.35,-9.99,1.80996E+23,9.9,35.094,10.386
319,2/9/2020 2:50,634488676.5,6130.978,25.78,186.77,693242,78.155,448.64,-99.99,450.09,-99.99,451.54,-99.99,189.32,-9.99,189.94,-9.99,190.55,-9.99,1.71634E+23,9.9,35.094,10.386
320,2/9/2020 2:50,634488676.5,6131.237,25.78,186.77,695480,78.408,421.65,-99.99,423.1,-99.99,424.55,-99.99,187.81,-9.99,188.46,-9.99,189.1,-9.99,1.62612E+23,9.9,35.094,10.386
321,2/9/2020 2:50,634488676.6,6131.497,25.78,186.77,697726,78.661,396.02,-99.99,397.47,-99.99,398.92,-99.99,186.59,-9.99,187.27,-9.99,187.95,-9.99,1.53726E+23,9.9,35.093,10.386
322,2/9/2020 2:50,634488676.7,6131.741,25.78,186.77,699835,78.899,373.27,-99.99,374.72,-99.99,376.17,-99.99,185.78,-9.99,186.5,-9.99,187.23,-9.99,1.45521E+23,9.9,35.093,10.386
323,2/9/2020 2:50,634488676.7,6131.977,25.78,186.77,701874,79.129,352.41,-99.99,353.86,-99.99,355.31,-99.99,184.88,-9.99,185.64,-9.99,186.4,-9.99,1.38063E+23,9.9,35.092,10.386
324,2/9/2020 2:50,634488676.8,6132.28,25.78,186.77,704492,79.424,327.17,-99.99,328.62,-99.99,330.07,-99.99,183.33,-9.99,184.14,-9.99,184.96,-9.99,1.29258E+23,9.9,35.092,10.386
325,2/9/2020 2:50,634488676.9,6132.561,25.78,186.77,706919,79.697,305.28,-99.99,306.73,-99.99,308.18,-99.99,183.02,-9.99,183.89,-9.99,184.76,-9.99,1.2081E+23,9.9,35.091,10.386
326,2/9/2020 2:50,634488676.9,6132.82,25.78,186.77,709156,79.95,286.43,-99.99,287.88,-99.99,289.33,-99.99,183.95,-9.99,184.88,-9.99,185.81,-9.99,1.12781E+23,9.9,35.091,10.386
327,2/9/2020 2:50,634488677,6133.037,25.78,186.77,711030,80.161,271.64,-99.99,273.09,-99.99,274.54,-99.99,185.49,-9.99,186.48,-9.99,187.47,-9.99,1.06069E+23,9.9,35.09,10.387
328,2/9/2020 2:50,634488677.1,6133.265,25.78,186.77,712999,80.383,257.03,-99.99,258.48,-99.99,259.93,-99.99,186.86,-9.99,187.92,-9.99,188.97,-9.99,9.9625E+22,9.9,35.09,10.387
329,2/9/2020 2:50,634488677.1,6133.485,25.78,186.77,714899,80.597,243.76,-99.99,245.21,-99.99,246.66,-99.99,187.82,-9.99,188.94,-9.99,190.06,-9.99,9.40012E+22,9.9,35.089,10.387
289,2/9/2020 2:50,634488675.2,6127.361,25.79,186.78,661964,74.629,1036.6,-99.99,1038.05,-99.99,1039.5,-99.99,198.12,-9.99,198.4,-9.99,198.68,-9.99,3.78954E+23,9.9,35.103,10.386
290,2/9/2020 2:50,634488675.2,6127.462,25.79,186.78,662837,74.728,1012.96,-99.99,1014.41,-99.99,1015.86,-99.99,197.74,-9.99,198.02,-9.99,198.31,-9.99,3.7103E+23,9.9,35.103,10.386
291,2/9/2020 2:50,634488675.3,6127.563,25.79,186.78,663711,74.826,989.82,-99.99,991.27,-99.99,992.72,-99.99,197.43,-9.99,197.72,-9.99,198.01,-9.99,3.63123E+23,9.9,35.102,10.386
292,2/9/2020 2:50,634488675.3,6127.664,25.79,186.78,664585,74.925,967.18,-99.99,968.63,-99.99,970.08,-99.99,197.18,-9.99,197.47,-9.99,197.77,-9.99,3.55278E+23,9.9,35.102,10.386
293,2/9/2020 2:50,634488675.3,6127.764,25.79,186.78,665450,75.022,945.25,-99.99,946.7,-99.99,948.15,-99.99,197,-9.99,197.31,-9.99,197.61,-9.99,3.47526E+23,9.9,35.102,10.386
294,2/9/2020 2:50,634488675.4,6127.865,25.79,186.78,666324,75.121,923.58,-99.99,925.03,-99.99,926.48,-99.99,196.79,-9.99,197.1,-9.99,197.41,-9.99,3.39931E+23,9.9,35.101,10.386
295,2/9/2020 2:50,634488675.4,6127.966,25.79,186.78,667198,75.219,902.39,-99.99,903.85,-99.99,905.3,-99.99,196.64,-9.99,196.95,-9.99,197.27,-9.99,3.32388E+23,9.9,35.101,10.386
296,2/9/2020 2:50,634488675.5,6128.067,25.79,186.78,668072,75.318,881.69,-99.99,883.14,-99.99,884.59,-99.99,196.6,-9.99,196.92,-9.99,197.25,-9.99,3.24821E+23,9.9,35.101,10.386
297,2/9/2020 2:50,634488675.5,6128.168,25.79,186.78,668945,75.416,861.45,-99.99,862.9,-99.99,864.35,-99.99,196.6,-9.99,196.93,-9.99,197.26,-9.99,3.17369E+23,9.9,35.101,10.386
298,2/9/2020 2:50,634488675.6,6128.269,25.79,186.78,669819,75.515,841.68,-99.99,843.13,-99.99,844.58,-99.99,196.6,-9.99,196.94,-9.99,197.28,-9.99,3.10078E+23,9.9,35.1,10.386
299,2/9/2020 2:50,634488675.6,6128.369,25.79,186.78,670684,75.612,822.55,-99.99,824,-99.99,825.45,-99.99,196.64,-9.99,196.98,-9.99,197.33,-9.99,3.02982E+23,9.9,35.1,10.386
300,2/9/2020 2:50,634488675.6,6128.47,25.79,186.78,671558,75.711,803.68,-99.99,805.13,-99.99,806.58,-99.99,196.63,-9.99,196.98,-9.99,197.34,-9.99,2.96039E+23,9.9,35.1,10.386
301,2/9/2020 2:50,634488675.7,6128.571,25.79,186.78,672431,75.809,785.24,-99.99,786.69,-99.99,788.14,-99.99,196.61,-9.99,196.97,-9.99,197.33,-9.99,2.89277E+23,9.9,35.099,10.386
302,2/9/2020 2:50,634488675.7,6128.672,25.79,186.78,673305,75.908,767.21,-99.99,768.66,-99.99,770.11,-99.99,196.53,-9.99,196.9,-9.99,197.27,-9.99,2.82753E+23,9.9,35.099,10.386
303,2/9/2020 2:50,634488675.8,6128.772,25.79,186.78,674170,76.005,749.77,-99.99,751.22,-99.99,752.67,-99.99,196.48,-9.99,196.86,-9.99,197.24,-9.99,2.76386E+23,9.9,35.099,10.386
304,2/9/2020 2:50,634488675.8,6128.873,25.79,186.78,675043,76.104,732.55,-99.99,734,-99.99,735.45,-99.99,196.41,-9.99,196.79,-9.99,197.18,-9.99,2.70146E+23,9.9,35.099,10.386
305,2/9/2020 2:50,634488675.8,6128.974,25.79,186.78,675916,76.202,715.72,-99.99,717.17,-99.99,718.62,-99.99,196.31,-9.99,196.71,-9.99,197.11,-9.99,2.64063E+23,9.9,35.098,10.386
306,2/9/2020 2:50,634488675.9,6129.074,25.79,186.78,676781,76.3,699.44,-99.99,700.89,-99.99,702.34,-99.99,196.21,-9.99,196.62,-9.99,197.03,-9.99,2.58187E+23,9.9,35.098,10.386
307,2/9/2020 2:50,634488675.9,6129.175,25.79,186.78,677655,76.398,683.34,-99.99,684.79,-99.99,686.25,-99.99,195.96,-9.99,196.37,-9.99,196.79,-9.99,2.52578E+23,9.9,35.098,10.386
308,2/9/2020 2:50,634488675.9,6129.276,25.79,186.78,678528,76.497,667.6,-99.99,669.06,-99.99,670.51,-99.99,195.67,-9.99,196.09,-9.99,196.52,-9.99,2.47122E+23,9.9,35.098,10.386
309,2/9/2020 2:50,634488676,6129.376,25.79,186.78,679393,76.594,652.36,-99.99,653.81,-99.99,655.26,-99.99,195.43,-9.99,195.86,-9.99,196.3,-9.99,2.41773E+23,9.9,35.097,10.386
310,2/9/2020 2:50,634488676,6129.477,25.79,186.78,680266,76.693,637.29,-99.99,638.74,-99.99,640.19,-99.99,195.18,-9.99,195.62,-9.99,196.07,-9.99,2.36494E+23,9.9,35.097,10.386
311,2/9/2020 2:50,634488676,6129.577,25.79,186.78,681131,76.79,622.7,-99.99,624.15,-99.99,625.61,-99.99,195.02,-9.99,195.47,-9.99,195.93,-9.99,2.31269E+23,9.9,35.097,10.386
312,2/9/2020 2:50,634488676.1,6129.678,25.79,186.78,682004,76.889,608.3,-99.99,609.75,-99.99,611.2,-99.99,194.86,-9.99,195.33,-9.99,195.79,-9.99,2.26102E+23,9.9,35.097,10.386
313,2/9/2020 2:50,634488676.1,6129.778,25.79,186.78,682869,76.986,594.36,-99.99,595.81,-99.99,597.26,-99.99,194.8,-9.99,195.27,-9.99,195.75,-9.99,2.20992E+23,9.9,35.096,10.386
268,2/9/2020 2:50,634488674.2,6125.238,25.8,186.79,643588,72.558,1668.15,-99.99,1669.6,-99.99,1671.05,-99.99,206.29,-9.99,206.47,-9.99,206.65,-9.99,5.85689E+23,9.9,35.11,10.385
269,2/9/2020 2:50,634488674.3,6125.339,25.8,186.79,644462,72.656,1631.57,-99.99,1633.02,-99.99,1634.47,-99.99,205.83,-9.99,206.01,-9.99,206.2,-9.99,5.74129E+23,9.9,35.109,10.385
270,2/9/2020 2:50,634488674.3,6125.441,25.8,186.79,645345,72.756,1595.36,-99.99,1596.81,-99.99,1598.26,-99.99,205.32,-9.99,205.5,-9.99,205.69,-9.99,5.62794E+23,9.9,35.109,10.385
271,2/9/2020 2:50,634488674.4,6125.542,25.8,186.79,646220,72.854,1560.21,-99.99,1561.66,-99.99,1563.11,-99.99,204.86,-9.99,205.05,-9.99,205.24,-9.99,5.51614E+23,9.9,35.109,10.385
272,2/9/2020 2:50,634488674.4,6125.643,25.8,186.79,647094,72.953,1525.77,-99.99,1527.22,-99.99,1528.67,-99.99,204.44,-9.99,204.63,-9.99,204.83,-9.99,5.40557E+23,9.9,35.108,10.385
273,2/9/2020 2:50,634488674.4,6125.744,25.8,186.79,647968,73.051,1492.02,-99.99,1493.47,-99.99,1494.92,-99.99,204.08,-9.99,204.28,-9.99,204.48,-9.99,5.29528E+23,9.9,35.108,10.385
274,2/9/2020 2:50,634488674.5,6125.845,25.8,186.79,648843,73.15,1458.97,-99.99,1460.42,-99.99,1461.87,-99.99,203.81,-9.99,204.01,-9.99,204.22,-9.99,5.18484E+23,9.9,35.108,10.385
275,2/9/2020 2:50,634488674.6,6125.947,25.8,186.79,649726,73.25,1426.29,-99.99,1427.74,-99.99,1429.19,-99.99,203.42,-9.99,203.63,-9.99,203.84,-9.99,5.07837E+23,9.9,35.107,10.385
276,2/9/2020 2:50,634488674.6,6126.048,25.8,186.79,650600,73.348,1394.58,-99.99,1396.03,-99.99,1397.48,-99.99,202.98,-9.99,203.19,-9.99,203.4,-9.99,4.97632E+23,9.9,35.107,10.385
277,2/9/2020 2:50,634488674.7,6126.149,25.8,186.79,651474,73.447,1363.51,-99.99,1364.96,-99.99,1366.41,-99.99,202.46,-9.99,202.67,-9.99,202.89,-9.99,4.87798E+23,9.9,35.106,10.385
278,2/9/2020 2:50,634488674.7,6126.25,25.8,186.79,652349,73.545,1333.05,-99.99,1334.5,-99.99,1335.95,-99.99,201.88,-9.99,202.1,-9.99,202.32,-9.99,4.78258E+23,9.9,35.106,10.385
279,2/9/2020 2:50,634488674.7,6126.351,25.8,186.79,653223,73.644,1303.18,-99.99,1304.63,-99.99,1306.08,-99.99,201.29,-9.99,201.52,-9.99,201.74,-9.99,4.68907E+23,9.9,35.106,10.385
280,2/9/2020 2:50,634488674.8,6126.452,25.8,186.79,654097,73.742,1273.91,-99.99,1275.36,-99.99,1276.81,-99.99,200.78,-9.99,201.01,-9.99,201.24,-9.99,4.59542E+23,9.9,35.106,10.385
281,2/9/2020 2:50,634488674.8,6126.553,25.8,186.79,654971,73.841,1245.23,-99.99,1246.68,-99.99,1248.13,-99.99,200.35,-9.99,200.59,-9.99,200.82,-9.99,4.50156E+23,9.9,35.105,10.385
282,2/9/2020 2:50,634488674.9,6126.654,25.8,186.79,655845,73.939,1217.14,-99.99,1218.59,-99.99,1220.04,-99.99,199.98,-9.99,200.22,-9.99,200.46,-9.99,4.40818E+23,9.9,35.105,10.385
